time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n
8.91,277.18903492861506,-17.081292698048077,-4940.247632908184,52.98693191063396,7.791067917763657,-0.5338014987068259,-0.302805113180147,0.5514257865242582,-0.38085130777533527,1.8699597030895623,0.35269750557056323,1.78481969844474,64.6573008528575,-180.37963366329726,-90.2482753011595,42.13510936208242,17.864463890563222,44.68457365380413
8.92,277.62038093658435,-17.187079544829807,-4940.547844496625,53.18609197950307,6.685322270228142,-0.5642870396104891,-0.2785042904493533,0.5570892553671509,-0.3604698351956048,2.430082273079363,0.5663468842892829,2.0381472579730384,64.04293432131749,-165.04683389998297,-78.84722728115484,43.42783434633798,21.165943882798434,38.11950092400412
8.93,278.05262008451047,-17.295418951506036,-4940.846849991682,53.38288953240472,5.454058303627024,-0.4942613933113,-0.24855812668316135,0.5652056139957295,-0.337963325657082,2.994616376619198,0.8116358628578461,2.250650953852309,63.07952012675433,-146.89449717690024,-75.60662682640957,44.522695608208224,23.419520477955672,31.171526486539445
8.94,278.4857934466269,-17.406079825274663,-4941.144764540342,53.56576736227179,4.123007189144131,-0.3001132305918796,-0.21295767442897184,0.5759858521346843,-0.3137630492810142,3.5600452254189543,1.078023813895474,2.42002763760677,61.725853099297865,-126.26610634054474,-83.37822922504832,45.40701880448169,24.401561294845685,23.983314902827352
8.950000000000001,278.919783168016,-17.51885333995976,-4941.441907490273,53.72316962089949,2.7218651106961946,0.03552457810987747,-0.17172828219190528,0.5895145398019714,-0.28831476560298563,4.122939223706664,1.3528687667287285,2.544828367802835,59.82795836100843,-103.56669097310271,-104.53629887643416,46.052239865111176,23.957582408142063,16.704342161181316
8.96,279.35419788561063,-17.634057469621663,-4941.738735852468,53.84377100450578,1.2360771763016993,0.5220984670899013,-0.16730939420062008,0.60573564180494,-0.26368278223559605,0.4418887991285132,1.622110200296857,2.4631983367389534,56.996707963499546,-132.09914362035454,-140.810173957796,-300.8600111559548,22.011418410452485,31.961715352252952
8.97,279.7888869874604,-17.75123778108958,-4942.035599436215,53.91315739158887,-0.18820668598452595,1.2142151748165595,-0.17866974659186008,0.6237768180966845,-0.23732046040922006,-1.1360352391240076,1.8041176291744523,2.6362321826376083,52.14920383846041,-110.3432936234198,-193.40915810837527,-129.69012059424296,18.935483666409336,50.07413386444114
8.98,280.2237636903231,-17.870146259156062,-4942.332617676673,53.92668959689312,-1.705889745412082,1.94169241382987,-0.1946331579553926,0.6428637445450867,-0.20813403883155823,-1.5963411363532594,1.9086926448402235,2.9186421577661643,44.439604610529216,-90.87445546268802,-267.34558802351626,-38.10439116485779,13.99035422653573,55.13290683259418
8.99,280.6588159273958,-17.990663514574685,-4942.629679223442,53.871049721332895,-3.37465322580655,2.6317145680611693,-0.20922336607436054,0.6626018637429372,-0.17583125291632973,-1.4590208118967878,1.9738119197850723,3.23027859152283,34.33087020283017,-70.22438366727106,-343.2448623599296,11.417361951742974,11.03092154738225,52.889906156527935
9.0,281.0940944865102,-18.112724372061464,-4942.926497888032,53.73075062379071,-5.195933484859282,3.2687426740902343,-0.219200700427149,0.68285346698275,-0.1405589925129087,-0.9977334352788387,2.0251603239812677,3.5272260403420788,22.722368887119302,-46.96781057998102,-414.7530219690909,38.770890898077134,9.238024763546639,46.56709525418336
9.01,281.52967237417806,-18.235060108535382,-4943.222897866533,53.49050449031507,-7.019674126060416,3.8679275488556044,-0.22338634775831268,0.7036643822130291,-0.11084535124230088,-0.41856473311636555,2.0810915230278946,2.9713641270608013,10.145811686871411,114.48549754961276,-480.81814329083363,59.0936681335108,8.265170224187028,-104.49734850640088
9.02,281.96419897787536,-18.357043144986033,-4943.520193396658,53.192648273824226,-8.496736856926233,4.373357949520533,-0.22243744007808175,0.7132450001142745,-0.08691350544623955,0.09489076802309027,0.958061790124525,2.3931845796061144,-9.659127870065504,141.37718272177722,-636.2114810001395,53.210033200211605,-127.33946448760496,-107.3921099694295
9.03,282.39667179726683,-18.47940883041907,-4943.818889690321,52.92869620719558,-9.617390259813401,4.279566066303383,-0.2168728227946528,0.7128093178930128,-0.0688451413615212,0.5564617283428845,-0.04356822212617839,1.8068364084718158,-20.580998833174306,163.01443415335407,-672.6202343788731,46.48943470799317,-114.583535971159,-108.37408319293492
9.040000000000001,282.82660052910796,-18.6027022730036,-4944.119387430667,52.74129543258332,-10.386917510039467,3.722431292916976,-0.20758850192354883,0.7039183763623384,-0.056652047060811395,0.9284320871104,-0.889094153067434,1.2193094300709908,-17.044276373220953,179.29291168454333,-646.3509552671645,37.65446890344165,-97.26187615555294,-107.82662618289967
