time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n,motor0,motor1,motor2,motor3,motor4,aileron,elevator,rudder
0.41000000000000003,12.26372424310622,0.04268580491555993,-5000.224985452256,27.415728677101217,-5.679258281076657,2.2963763877559367,-0.570799288840481,0.236329394543914,0.1303705722258779,-0.9483762437362874,0.3752305438256948,0.06997598533355115,-53.36984982984932,-16.02351860089093,-96.14951588440542,1.0043008225765755,1.7385902390846248,-6.889975621210951,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.42,12.543705523057442,0.043037526959971276,-5000.240420664154,27.354735268821514,-5.735058391160024,2.2597410473691077,-0.5802472882674129,0.24022750426592165,0.13068716044010076,-0.9447999426931916,0.38981097220076216,0.031658821422292545,-53.24284430280194,-16.32113524464041,-94.21147102128944,0.813580788196445,1.824271054493759,-6.890426266440898,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.43,12.823142780372462,0.04332803228868413,-5000.256485974532,27.295753609371424,-5.780247552378754,2.228041021999997,-0.5896810654038419,0.24427919213488902,0.1306210799695311,-0.9433777136429032,0.40516878689674063,-0.006608047056987358,-53.19301791056019,-16.696836539763325,-92.56165211738212,0.6282900581160791,1.8780763473245161,-6.86126724187901,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.44,13.102033829986851,0.04356642103306584,-5000.273236062526,27.238727437136006,-5.815053912209748,2.201198292674617,-0.5991211263531564,0.24848956111665021,0.13017453748783048,-0.9440060949314459,0.42103689817610773,-0.044654248170039955,-53.218887626617644,-17.15035698386052,-91.19773948588906,0.44897237800762924,1.9019920896824398,-6.803980145641297,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.45,13.380374965376943,0.04376043286756006,-5000.290728909088,27.183585244222495,-5.839743713805766,2.179067769456368,-0.608586892943698,0.25286125051704156,0.12935135528731712,-0.9465766590541703,0.4371689400391244,-0.08231822005135166,-53.318104954960816,-17.68096494975959,-90.1132682641421,0.2761166688802679,1.8982712920202707,-6.720112509586367,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.46,13.658160960720451,0.04391618861555711,-5000.309025244874,27.130241090022633,-5.854618204382307,2.161448079027964,-0.6180966632158325,0.2573946589048002,0.12815687936239506,-0.9509770272134397,0.45334083877587417,-0.11944759249218781,-53.48763179117725,-18.28748592558898,-89.29825405790756,0.11016393407118741,1.869362563630761,-6.611266758185632,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.47000000000000003,13.935385077631587,0.044037978827606176,-5000.328187989595,27.078595663578525,-5.860010592692242,2.1480919194688153,-0.6276675809080633,0.2620881767125749,0.1265978843217006,-0.9570917692230801,0.4693517807774722,-0.15589950406946687,-53.72389009644735,-18.96832678685005,-88.73980271622703,-0.048487690270790515,1.817844224804657,-6.479089699847089,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.48,14.212039076399426,0.044128099626245164,-5000.3482816900805,27.028537566672924,-5.856283044673658,2.1387158435747033,-0.6373156129384446,0.26693842311742033,0.12468247575484925,-0.9648032030381374,0.48502464048453403,-0.19154085668514467,-54.02288834938771,-19.7215011106617,-88.42269457162993,-0.19947953477328267,1.7463645030932327,-6.325262482364385,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.49,14.48811323203503,0.04418673515049368,-5000.369371963651,26.97994478064504,-5.843823710759192,2.133009363348519,-0.6470555340176413,0.27194048243636915,0.12241999066196296,-0.9739921079196687,0.5002059318948759,-0.2262485092886245,-54.380328101301714,-20.544655480264097,-88.32993509249334,-0.3424904017281259,1.6575881716116339,-6.151490963193121,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.5,14.763596355678791,0.04421188509805522,-5000.391524952743,26.93268627443761,-5.823043782273283,2.1306432971717544,-0.656900917661974,0.2770881359173547,0.11982089653630723,-0.9845383644332729,0.5147653480985576,-0.2599094125655624,-54.79169396264963,-21.435096679690467,-88.44326551277861,-0.47723570996911857,1.5541498223032069,-5.959496461751613,0.0,0.0,0.0,0.0,1.0,-0.9800703287924143,-1.0,0.68604923015469
